order_id,latency_ns
3,1400
1,67400
6,600
5,3800
7,700
8,500
9,600
2,97800
13,7600
11,12500
16,600
17,600
14,10600
19,500
18,4300
21,500
4,64600
22,500
23,500
10,50400
12,46700
25,500
20,20900
26,600
24,5800
27,500
15,40900
28,500
30,500
29,3900
31,500
34,500
32,4800
35,500
37,400
33,12000
38,500
39,500
41,600
40,3200
43,500
44,500
42,6800
47,500
48,600
36,34000
45,9300
50,500
49,2600
52,500
46,16100
53,400
54,500
51,8500
56,600
55,3800
57,400
61,600
58,9600
62,500
64,600
65,500
59,21000
60,18400
67,500
63,16100
68,500
66,6300
69,500
73,500
72,2900
74,500
77,500
71,20300
81,400
76,12200
82,400
85,500
80,13000
79,16400
88,500
87,2800
90,500
84,16700
92,500
91,2800
95,500
70,67000
78,44100
96,500
86,27300
97,500
98,600
89,25000
99,400
100,400
94,17700
103,700
102,2200
105,500
106,500
93,32500
107,500
101,13500
111,500
109,4800
113,500
119,500
115,8800
121,500
117,9800
110,26600
108,31800
123,600
122,4300
120,12800
125,500
124,2600
126,500
127,600
130,500
128,5000
131,500
133,500
114,49400
112,56000
134,500
129,15000
137,500
138,400
140,500
139,2900
141,400
143,500
142,4000
145,600
132,35700
146,500
135,31200
150,500
147,8300
152,500
153,500
156,600
155,2900
157,600
136,63900
161,1200
158,9000
163,500
162,2800
165,500
164,3500
169,600
160,23400
170,600
171,500
167,9600
175,400
180,600
182,500
148,98300
185,500
184,2600
188,600
183,12000
189,500
190,500
178,30300
191,600
192,500
186,15900
193,400
187,16000
195,600
194,2900
174,52600
196,400
179,45500
181,40200
202,600
200,5300
204,500
209,400
172,96300
177,78000
215,500
207,18900
205,23000
203,26900
217,400
206,28800
198,45300
168,127500
218,500
220,500
210,27100
221,500
226,500
228,600
227,9400
201,73900
229,500
212,53700
213,51700
230,600
144,237400
231,500
223,30900
222,34600
232,600
234,600
208,79100
233,3800
235,600
237,500
239,500
159,217000
211,86900
216,74900
240,400
151,249200
241,500
236,15700
242,500
166,209600
243,500
244,500
245,500
219,82000
246,500
248,500
247,2400
249,600
252,600
251,3400
255,600
250,13200
258,600
254,11000
262,400
265,500
268,500
270,500
261,21400
272,600
260,27700
225,131600
273,600
197,201500
259,36800
266,22000
275,500
278,500
279,500
154,329400
253,65700
280,600
282,500
281,2600
283,500
238,118700
284,400
176,287400
286,600
285,2600
290,400
288,4300
291,500
173,317700
267,67900
292,600
287,19600
199,257300
214,226000
224,200500
293,600
295,500
294,4400
257,113500
149,408300
298,500
296,4800
300,600
276,76100
301,600
302,500
297,12500
274,86700
303,500
307,800
305,4800
309,500
310,400
311,400
271,116800
314,500
316,500
256,163000
318,500
315,7500
319,500
312,17900
317,7200
306,30800
320,500
264,156100
289,88600
321,600
322,500
299,56200
323,400
325,500
324,2600
326,500
327,500
328,500
330,500
332,500
308,58700
329,8500
335,400
334,2700
337,500
304,79200
339,400
338,2500
340,500
269,194400
341,500
342,500
343,500
333,27000
336,21200
331,34100
345,500
344,2600
346,500
348,500
347,2600
313,90200
350,500
349,2500
263,234300
353,400
352,2400
354,500
351,7500
356,400
357,500
277,215700
359,500
358,2500
360,500
364,500
362,4800
355,22800
365,500
363,6200
361,12100
369,500
366,7500
367,5900
371,500
373,500
372,2500
375,500
377,500
376,2600
380,500
381,500
378,9000
382,500
384,500
387,500
391,500
394,500
379,35600
395,500
388,16700
389,15300
396,400
397,500
398,500
383,36200
386,29400
401,400
399,4600
402,500
408,500
409,600
411,500
406,10400
413,500
407,14700
414,500
416,500
417,500
412,16900
418,500
415,8300
419,400
404,37300
420,500
421,500
370,123900
426,600
424,5400
427,500
428,500
430,500
433,500
403,73200
438,500
374,153900
439,500
436,7700
442,500
441,2900
444,500
448,600
410,94800
392,134600
434,33900
452,600
451,2700
425,65500
453,500
454,500
429,60700
456,500
457,500
458,500
459,500
460,500
393,163000
463,500
461,4700
455,20100
462,4400
469,500
368,245700
470,500
466,11500
475,500
468,23300
476,500
473,10300
474,7400
479,400
482,500
471,33700
465,50400
484,500
483,2500
486,500
481,12600
485,4000
487,500
464,65200
489,500
488,2900
490,500
493,500
494,500
495,500
496,600
497,500
472,67200
500,400
503,500
437,167900
504,500
499,12600
507,500
505,4700
509,500
512,2300
514,500
515,500
508,16500
516,500
513,8300
517,500
492,59800
520,400
522,500
511,26300
510,28300
523,500
524,500
502,54800
526,500
525,2800
531,600
532,500
533,500
530,7700
534,500
521,33800
536,500
390,360100
527,24600
537,500
538,400
539,500
541,600
519,54100
543,500
467,190900
546,500
540,14800
547,600
544,7800
553,400
549,9400
554,500
551,7400
559,600
555,16300
560,600
557,10300
564,500
565,500
552,40600
566,500
558,22900
572,500
550,60700
573,600
569,9300
570,8000
575,500
577,600
576,4400
578,500
579,500
563,65600
580,500
582,500
584,500
581,8900
585,500
586,500
583,6800
587,600
588,600
589,400
562,91900
567,80000
592,400
528,194900
594,500
535,183700
598,500
590,18500
600,500
591,21200
595,12800
601,500
599,7100
602,400
604,500
603,2600
605,500
608,500
548,178300
545,195300
610,500
506,294400
611,600
606,13700
612,500
614,1900
616,500
620,500
617,7100
623,500
622,2600
624,500
597,65000
625,500
619,14900
626,400
621,13600
627,600
607,48100
609,42900
629,500
628,2900
631,400
632,400
618,35900
613,47200
615,44500
635,500
633,4500
636,600
639,400
637,4600
641,500
561,221300
643,500
596,117200
630,36400
645,500
634,30100
646,500
649,500
571,218900
651,500
644,16800
654,500
653,2600
655,500
656,500
574,228200
657,500
658,500
659,500
640,49000
647,30500
662,500
661,2400
664,500
642,58300
666,500
542,347500
670,800
501,457600
556,312500
671,600
668,9900
672,400
673,600
498,471600
674,500
518,425900
568,291100
675,500
663,34300
676,400
678,500
638,105500
680,500
660,54500
683,500
684,400
685,500
682,6400
687,500
681,13600
689,500
693,500
690,8500
696,500
691,17000
692,15500
697,600
698,500
695,13800
699,400
694,19400
648,136700
701,500
700,2600
702,500
652,133400
705,500
704,2400
706,600
688,51900
679,72600
708,500
710,500
709,2600
712,400
707,12700
711,4200
713,500
491,593300
717,500
716,3700
714,6100
719,500
718,2900
720,600
722,500
721,3400
724,500
715,20800
725,500
727,500
730,500
728,5500
733,500
731,5500
735,11300
736,1400
734,18500
737,900
738,800
665,204700
741,700
742,600
744,900
667,219100
747,800
746,3900
749,600
703,141000
750,600
686,192500
726,88900
732,75400
669,238000
751,600
723,101800
756,500
757,800
650,308400
758,600
760,700
759,4900
767,600
764,9200
768,700
769,600
753,49400
771,600
772,600
770,5800
773,600
774,700
748,80800
754,59800
775,600
729,158000
755,62000
779,500
780,600
781,700
677,307800
782,600
752,90700
739,137200
784,600
765,59100
529,727400
786,600
783,13200
789,700
790,600
788,7200
763,85300
791,600
792,600
798,800
593,574800
801,600
794,22100
803,600
804,700
806,800
805,4300
807,600
800,19000
809,700
810,600
812,1900
816,600
818,1800
819,700
808,34400
820,600
811,28600
821,600
799,66800
823,600
793,94800
825,700
824,3300
827,600
766,192700
829,600
828,3600
830,600
813,55900
831,700
762,216800
761,220600
778,171800
833,600
832,3500
835,600
802,107800
837,600
839,600
842,600
843,600
844,700
826,57300
846,600
814,101900
847,700
815,102700
834,40100
849,600
838,35100
851,600
848,9600
740,351800
852,600
854,600
853,3700
850,14300
857,700
860,700
855,14000
861,600
845,49500
862,600
863,700
866,600
817,155800
795,223700
868,500
864,12600
869,600
867,7200
858,37500
870,600
873,600
856,55500
874,700
875,600
876,600
445,1228100
480,1133500
877,700
878,700
881,800
872,30200
871,34000
882,600
880,7200
883,600
884,600
885,700
886,500
879,20200
887,700
890,500
891,700
888,9900
894,700
893,3300
895,800
897,600
896,3200
898,600
892,19100
899,600
900,700
901,600
902,600
903,700
904,700
785,371700
906,500
910,500
911,500
912,500
841,215500
913,500
908,12500
909,11200
916,400
914,6600
919,700
918,2200
921,500
917,9500
915,18400
922,600
920,10700
905,46000
925,500
924,3600
907,50600
926,500
889,108500
928,500
927,2600
930,500
931,500
929,6000
923,24000
933,500
934,400
935,400
932,6900
937,500
938,500
939,400
940,600
936,9700
942,500
943,600
944,500
945,500
941,11600
946,400
385,1564400
432,1452900
478,1332500
948,500
949,500
950,600
951,500
954,700
953,2900
952,6000
958,500
959,500
957,4900
960,600
961,600
965,500
962,8400
964,4200
967,500
966,2600
956,31600
955,34500
971,500
970,2700
973,600
972,3000
975,500
974,2500
976,500
980,500
978,5500
983,500
969,34900
963,51600
984,500
981,8900
989,500
990,600
993,500
991,5900
995,500
994,2600
997,500
977,51000
998,500
988,25000
1001,500
1002,500
1003,500
985,46500
986,45700
1004,400
982,59400
1005,500
947,152100
1006,500
1008,500
743,778700
1009,500
1010,400
822,536400
1012,600
1011,2600
865,404500
1020,500
1014,13800
1022,1600
1016,12900
1023,500
1015,17700
1017,14400
1026,500
992,85200
1027,600
1024,7800
1029,400
1030,600
996,85800
1031,500
745,826400
796,665500
859,469600
1032,500
999,84100
1000,81500
840,531000
1035,500
1028,19900
1037,500
1039,600
1036,6800
1047,500
1038,41600
1043,13400
1051,500
1046,13700
1052,500
1054,500
1055,400
1040,56200
1056,500
1057,500
1034,74900
1058,500
1048,25500
1061,500
1059,4800
1062,500
1063,500
1065,500
1013,145000
1064,3900
1066,600
1049,52100
1041,75200
1067,500
1045,65400
1070,500
1060,35800
1044,76200
1076,500
1073,6300
1077,500
1079,500
1069,24000
1072,17200
1080,600
1068,28900
1081,500
1084,600
1082,4700
1087,800
1075,30500
1088,800
1074,35900
1090,500
1085,40400
1091,500
1094,500
1099,500
1086,58700
1102,500
1100,6500
1103,500
1104,500
1106,600
1033,232600
1019,269100
1042,197200
1050,176200
1107,500
1083,88500
1053,172900
1108,500
1109,400
1095,39200
1110,400
1096,39700
1098,35700
1112,400
1078,116000
1113,500
1097,45900
1114,500
1116,500
1115,2600
1118,500
1111,18800
1120,500
1119,2800
1117,8500
1126,400
1128,500
1129,400
1123,13200
1130,600
1132,500
787,1000900
1133,500
1138,600
1140,500
1141,500
1071,202500
1142,400
1143,600
1148,3300
1146,7700
1149,600
1147,8700
1152,500
1089,189900
1101,135600
1154,500
1150,11000
1157,500
1158,500
1156,4800
1153,13100
1159,500
1124,96500
1135,65300
1163,500
1160,6700
1166,600
1165,2600
1168,500
1167,2800
1164,10000
1169,500
1171,400
1172,600
1174,400
1173,2600
1176,500
1178,500
1180,500
1181,500
1182,500
1179,9300
1183,400
1161,52600
1184,500
1186,500
1185,2900
1187,500
1177,25400
1189,600
1188,3600
1190,700
1195,500
1192,8400
1191,11800
1197,500
1196,2700
1200,600
1203,500
1202,2600
1204,600
1205,500
1194,30000
1208,500
1207,3200
1199,24100
1210,700
1209,2800
1211,500
1212,500
1215,600
1193,61800
1216,500
1219,500
1217,4800
1221,600
1201,55900
1223,600
1214,23200
1227,500
1226,3900
1233,600
1229,10800
1236,500
1237,500
1198,99500
1224,30500
1238,500
1232,14900
1230,21800
1243,500
1239,9500
1244,500
1245,500
1249,500
1248,3500
1253,500
1251,4700
1254,600
1258,500
1231,63800
1261,600
1262,400
1264,500
1220,102900
1266,500
1267,500
1250,38700
1263,12400
1268,400
1170,242600
1260,23700
1242,63800
1137,331200
1269,400
1270,500
1259,32200
1271,600
1139,334400
1121,378900
1272,500
1246,66800
1273,500
1257,45500
1274,500
979,798300
1277,500
1240,94700
1280,500
1151,325800
1283,500
1281,4800
1206,196100
1144,354000
1162,305300
1285,500
1247,100300
1287,500
1286,2600
1288,500
1289,600
1292,600
1290,4800
1293,500
1295,500
1297,600
1252,116300
1298,400
1299,500
1294,11500
1300,500
1284,38000
1282,46000
1301,600
968,893400
1131,434000
1302,500
1303,600
1305,500
1306,400
1304,4500
1275,78400
1309,500
1307,5300
1312,500
1310,5500
1265,126000
1313,400
1311,6000
1318,500
1314,9300
1320,500
1316,9300
1323,500
1322,2600
1308,37100
1324,500
1326,400
1328,1900
1330,600
1325,9400
1332,500
1334,500
1336,500
1337,500
1175,405200
1092,618300
1125,536100
1342,600
1105,599400
1134,522200
1343,500
1338,12900
1341,7100
1344,600
1345,500
1346,600
1348,500
1349,500
1339,25700
1340,24200
1319,75600
1353,500
1351,4700
1350,8200
1354,500
1355,500
1356,600
1357,500
1317,100700
1363,500
1360,7000
1366,500
1352,36800
1368,600
1359,22500
1369,500
1358,27500
1370,500
1376,500
1361,34400
1331,115100
1371,12900
1382,500
1378,10200
1383,500
1327,142100
1385,500
1372,33200
1386,500
1241,362100
1387,500
1296,227600
1388,600
1392,500
1256,345400
1394,400
1347,120700
1395,600
1315,200600
1225,425700
1335,155000
1397,500
1235,407700
1399,600
1364,89400
1218,453400
1400,500
1329,185000
1403,500
1333,182400
1405,600
1365,103300
1374,83300
1408,500
1407,3300
1255,390700
1413,600
1414,500
1222,479800
1415,400
1213,506700
1373,110300
1228,471800
1416,500
1367,127400
1419,500
1417,4900
1421,500
1393,73000
1422,500
1234,472900
1379,112800
1423,600
1411,31700
1424,500
1420,11900
1380,116800
1427,400
1404,59500
1428,500
1426,5200
1430,1800
1431,500
1410,52200
1432,500
1384,122800
1406,65100
1433,500
1375,151100
1434,500
1436,600
1439,500
1438,2600
1437,5800
1435,11900
1441,500
1362,200200
1442,500
1440,5300
1443,500
1412,79800
1444,500
1446,500
1402,110900
1425,53300
1449,500
1445,10300
1450,500
1451,500
1447,9600
1452,400
1456,600
1398,148000
1429,70500
1409,121300
1458,500
1457,2500
1460,500
1462,600
1463,500
1453,27600
1467,500
1381,222300
1468,500
1469,500
1466,9100
1473,500
1389,215300
1477,400
1475,4700
1479,500
1472,15600
1481,500
1482,500
1476,14900
1483,500
1484,500
1471,30000
1486,500
1485,2500
1489,400
1494,500
1491,7000
1495,500
1461,79700
1470,58200
1478,41900
1497,500
1498,500
1496,4400
1499,500
1487,30300
1500,500
1504,500
1505,500
1502,7800
1455,123300
1506,400
1501,14600
1507,500
1474,80700
1465,102700
1508,500
1510,400
1509,4600
1454,140800
1511,500
1488,61100
1377,340600
1513,500
1418,238800
1514,500
1459,137300
1517,600
1515,4900
1518,500
1519,500
1522,400
1523,500
1516,19300
1492,86200
1527,500
1524,7600
1532,1900
1525,14100
1534,400
1537,600
1538,500
1530,17000
1542,600
1540,5000
1541,4400
1543,500
1545,500
1490,139600
1493,133900
1546,500
1544,6700
1547,500
1536,29400
1533,36200
1548,600
1526,52400
1549,500
1535,37900
1551,500
1552,500
1531,53200
1550,6400
1390,411400
1555,500
1554,2700
1556,500
1520,88900
1561,500
1557,9800
1562,500
1559,8300
1553,23700
1563,500
1560,9600
1564,500
1567,500
1568,500
1539,79100
1572,400
1566,16500
1575,600
1576,500
1021,1451900
1521,137700
1018,1459000
1391,471300
1577,500
1578,500
1570,21300
1574,12900
1579,500
1580,500
1573,21400
1569,31000
1571,27300
1581,600
1565,45900
1584,400
1582,5100
1588,500
1528,153000
1589,500
1587,5400
1594,500
1598,500
1586,32300
1601,500
1597,13000
1593,25500
1596,17600
1602,500
1600,6800
1603,400
1558,122600
1604,600
1599,14700
1607,600
1608,500
1512,250600
1609,500
1611,500
1613,500
1595,50300
1615,600
1590,67100
1616,500
1610,14700
1617,500
1592,67400
1619,500
1620,500
1621,500
1622,500
1585,98300
1626,500
